Date,Close/Last,Volume,Open,High,Low
10/22/2021,61162.7,N/A,62840.3,61243.3,60434.1
10/21/2021,63145,N/A,65070.5,63305.5,62152.8
10/20/2021,64998.5,N/A,63847.2,66004.7,64125.9
10/19/2021,63918.7,N/A,62603.8,64343.4,63750.8
10/18/2021,62643.6,N/A,62126.1,62954,61692.9
10/17/2021,62055.5,N/A,61133.8,62563.5,61415.4
10/16/2021,61159,N/A,61624,61333.9,60511.2
10/15/2021,61426.5,N/A,59435.5,61736.8,61123.2
10/14/2021,59323.5,N/A,58071.6,59417.7,56874.8
10/13/2021,58168.4,N/A,56279.9,58506.5,57149.8
10/12/2021,56297.4,N/A,56673.3,56537.3,55845.3
10/11/2021,56704.4,N/A,56505.4,57480.6,56438.3
10/10/2021,56534.9,N/A,55076.9,56681.6,54457.8
10/09/2021,54868.6,N/A,54583.6,55169.9,54100.8
10/08/2021,54637.5,N/A,53802.5,54681.9,53711.7
10/07/2021,53810.6,N/A,54818.2,54418.1,53716.1
10/06/2021,54966.6,N/A,51537.3,55325.2,54162.7
10/05/2021,51540.8,N/A,49302.5,51604.6,50993
10/04/2021,49210.2,N/A,47486.7,49760.2,49060.1
10/03/2021,47498.3,N/A,47882.1,48285,47398.7
10/02/2021,47662.7,N/A,47533.6,47800.5,47123
10/01/2021,47548,N/A,43621.5,48226.6,47509.1
09/30/2021,43467.3,N/A,43627.3,44011.5,43292.9
09/29/2021,43446.4,N/A,42162.2,43495.4,41416.7
09/28/2021,42092.6,N/A,42553.8,42108.5,40815
09/27/2021,43863.5,N/A,41960.3,44293.2,42949.7
09/26/2021,43889.5,N/A,42199.8,44293.2,42949.7
09/25/2021,42234.2,N/A,42634.9,42737.6,41943.9
09/24/2021,42654.1,N/A,44289,42944,42073.8
09/23/2021,44365.4,N/A,44070,44977.5,44336.6
09/22/2021,43959.2,N/A,42051.4,44162.9,43090.1
09/21/2021,42206.2,N/A,42684.5,42393.4,40585.7
09/20/2021,42686.2,N/A,45584.9,43035.6,40401.5
09/19/2021,45526.3,N/A,47840.2,47323.9,45310.7
09/18/2021,47940.9,N/A,47926.1,48341.9,47650.8
09/17/2021,47526.6,N/A,48032.7,47572,47070.5
09/16/2021,47876.3,N/A,47625.4,48095.8,47466.5
09/15/2021,47545.5,N/A,47091.9,48181.9,47358.8
09/14/2021,47097.4,N/A,45193.2,47396,46953.7
09/13/2021,45281.7,N/A,44845,45353.8,44718.7
09/12/2021,44973.6,N/A,45319.6,46269.8,44830
09/11/2021,45308.7,N/A,45190.1,45338.8,44755.2
09/10/2021,45023.2,N/A,46721.5,45476.1,44766.6
09/09/2021,46604.7,N/A,45973.9,47021.6,46287.7
09/08/2021,45904.5,N/A,46444.2,46341.9,45609
09/07/2021,46533.2,N/A,52649.9,47316.9,46329.3
09/06/2021,52639.6,N/A,51601.2,52885.3,52388.6
09/05/2021,50129.3,N/A,50099.3,50285.9,49492.4
09/04/2021,49716.3,N/A,50280.5,50285.9,49705.6
09/03/2021,50267.4,N/A,49485.2,50346.3,49603.1
09/02/2021,49446.8,N/A,49567,49497.3,48377.3
09/01/2021,49571.7,N/A,47050.5,49870.3,48612.9
08/31/2021,46918.2,N/A,47151.5,47289.5,46533.1
08/30/2021,47177,N/A,47964.3,47204.9,46709.3
08/29/2021,47944.6,N/A,48231.9,48886,47822.7
08/28/2021,48258.5,N/A,48862.5,49621.7,48101.9
08/27/2021,48880.7,N/A,46822.3,49289.4,48846.4
08/26/2021,46867.7,N/A,47263.6,49347.8,46584
08/25/2021,47967.1,N/A,47993.2,49347.8,47898.8
08/24/2021,48000.6,N/A,49341.6,48277.5,47669.8
08/23/2021,49352.5,N/A,50263.4,49685.2,48812.4
08/22/2021,50226.5,N/A,48807.3,50329.4,49099
08/21/2021,48736.4,N/A,48834.5,49164.1,48623.7
08/20/2021,48901.9,N/A,47056.5,49334,48744.8
08/19/2021,47048,N/A,44073.6,47377.9,46646.8
08/18/2021,44177.2,N/A,45048.2,45184.6,44086.7
08/17/2021,44959,N/A,46393.3,45133.9,44230
08/16/2021,46399.9,N/A,47375.4,46589.1,45323.2
08/15/2021,47497.9,N/A,46870.1,48002.4,46814.1
08/14/2021,47015.6,N/A,47546,47344.1,46928
08/13/2021,47500.4,N/A,44950.2,47826.5,47408.6
08/12/2021,44962.2,N/A,45916.8,45012.1,44242.4
08/11/2021,46123.5,N/A,45585.1,46213.8,45432.5
08/10/2021,45600.4,N/A,45714.8,45983,45367.9
08/09/2021,45689.8,N/A,43504.9,46663.4,45659.4
08/08/2021,43552.4,N/A,44327.7,43958.6,42824.1
08/07/2021,44307.8,N/A,43712.7,44749.5,43842.5
08/06/2021,43672.9,N/A,40223.3,43707.4,42611
08/05/2021,40166.6,N/A,39433.6,40979,39967.4
08/04/2021,39431.3,N/A,37972.1,39834.2,39202.6
08/03/2021,38054.8,N/A,38653.8,38555.5,37904.4
08/02/2021,38569.7,N/A,39789.5,39766.6,38543.5
08/01/2021,39782.5,N/A,42446.5,40078.5,39306.9
07/31/2021,42281.8,N/A,41818,42361.8,41123.8
07/30/2021,41914.8,N/A,39981.7,42285.3,41645.5
07/29/2021,39976.3,N/A,39657.8,40245.6,39769.8
07/28/2021,39740.4,N/A,39845,40205.2,39340.8
07/27/2021,39831.3,N/A,36552,40296.4,38946.6
07/26/2021,36914.2,N/A,38072.6,37514.9,36427.4
07/25/2021,38138,N/A,33824.8,39639.9,35236.7
07/24/2021,34234.5,N/A,33670.3,34302.5,33956.8
07/23/2021,33611.3,N/A,32591.5,33776.7,33412.9
07/22/2021,32537.4,N/A,31941.1,32746.2,32215
07/21/2021,31960.1,N/A,29841.3,32352.3,31803.1
07/20/2021,29849.9,N/A,29609.5,29901.8,29519.3
07/19/2021,29619.3,N/A,31553.7,31040.8,29574
07/18/2021,31577.7,N/A,32151.5,31838.7,31462.8
07/17/2021,32132.1,N/A,31310.2,32408.2,31490.2
07/16/2021,31326.6,N/A,31899.8,31616.8,31207.8
07/15/2021,31906.4,N/A,32760.4,32016.9,31581.1
07/14/2021,32711.8,N/A,32543.1,33157,32657.7
07/13/2021,31785,N/A,33075.9,32778.8,31695.8
07/12/2021,33139.4,N/A,34267.6,33220.4,32839.5
07/11/2021,34504.4,N/A,33535.6,34507.9,34077.1
07/10/2021,33461.4,N/A,33725,33794.9,33434.4
07/09/2021,33827.8,N/A,32747,34221,33678
07/08/2021,32956.6,N/A,33372.9,32993.5,32367
07/07/2021,33359.6,N/A,34444.3,33923.2,33095.9
07/06/2021,34428.1,N/A,33923.3,34495.7,33966.6
07/05/2021,33883.2,N/A,34371.6,34157.4,33669.5
07/04/2021,34334.7,N/A,34742.8,35300.5,34309.2
07/03/2021,34771.6,N/A,33299,34909.8,33363.3
07/02/2021,33396,N/A,32909.5,33895.1,33363.3
07/01/2021,32895.6,N/A,34155.1,33925.9,32778.7
06/30/2021,34202.6,N/A,35071.7,35030.7,34174.5
06/29/2021,35254.7,N/A,34584.1,36089.5,35148.9
06/28/2021,34555.3,N/A,34396.1,35125.8,34247.6
06/27/2021,34458.7,N/A,33152.6,34884,34319.5
06/26/2021,33189.6,N/A,32000,33192.3,32041.7
06/25/2021,32063.6,N/A,35103.5,32214.2,31360.1
06/24/2021,35098.7,N/A,32612.9,35490.9,34304.2
06/23/2021,32466.3,N/A,33989.2,33798.6,32376.2
06/22/2021,33811.7,N/A,33028.2,34236.2,31736.5
06/21/2021,33025.6,N/A,34691,33181.2,31216
06/20/2021,34681,N/A,35531.9,35708.4,34676.1
06/19/2021,35636.2,N/A,35084.1,35788.1,35176.2
06/18/2021,34963.5,N/A,37925.6,36283.5,34845.5
06/17/2021,37940.2,N/A,38862.5,38166,37231.8
06/16/2021,38834.5,N/A,40031.8,38963.7,38231.4
06/15/2021,40023.9,N/A,40403.5,40167.5,39645.3
06/14/2021,40479.3,N/A,38995.2,40838.1,39920
